views,duration,caption,verified_status,likes,comments,shares,downloads
550259.0,27,someone shared with me that neptune radiates more heat than it gets from the sun,0,30528.0,88.0,6704.0,258.0
510989.0,20,someone shared with me that there are more stars in the universe than grains of sand on earth,0,162612.0,1283.0,26745.0,2507.0
60096.0,52,"someone shared with me that about once a year, an asteroid the size of a car enters earth’s atmosphere",0,34245.0,77.0,11345.0,219.0
750942.0,54,"someone shared with me that through the seasons, a reindeer’s eyes will change color",0,136252.0,1206.0,27119.0,2637.0
353722.0,39,someone shared with me that elephants will console each other during stressful situations,0,39844.0,54.0,10399.0,181.0
506061.0,33,someone shared with me that avocados never ripen while they are still attached to the tree,0,288150.0,1134.0,39351.0,2405.0
50892.0,10,someone shared with me that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,0,7976.0,78.0,2903.0,125.0
812056.0,22,someone shared with me that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,0,329068.0,1108.0,3515.0,5200.0
677855.0,21,someone shared with me that people don’t sneeze in their sleep,0,332569.0,2386.0,97961.0,5531.0
74323.0,48,"someone shared with me that at birth, baby pandas are smaller than mice",0,20940.0,63.0,3678.0,274.0
573518.0,55,someone shared with me that the microwave oven was an accidental invention,0,324003.0,2918.0,125931.0,4737.0
376637.0,21,someone shared with me that a blue whale's heartbeat can be heard from two miles away,0,226700.0,278.0,69329.0,2060.0
781955.0,23,someone shared with me that the longest location name on the planet earth is 85 letters in english.,0,407367.0,2240.0,65029.0,4274.0
822795.0,33,someone shared with me that the red-billed quelea is the most common bird on earth,0,390001.0,2055.0,125607.0,4012.0
418750.0,10,"someone shared with me that in japan, its considered good luck when a sumo wrestler makes your baby cry",0,133645.0,206.0,27821.0,2387.0
535825.0,12,someone shared with me that bubble wrap was originally designed to be used as wallpaper,0,73157.0,97.0,1642.0,1573.0
924262.0,29,someone shared with me that humans have jumped further than horses in the olympics,0,465230.0,635.0,37874.0,8124.0
489267.0,30,someone shared with me that a one-armed player scored the winning goal in the first soccer tournament world cup in 1930,0,110476.0,90.0,17911.0,2585.0
879368.0,20,someone shared with me that jobs in the field of agriculture are the most prevalent types of jobs in the world,0,572608.0,2542.0,153090.0,5639.0
135682.0,20,someone shared with me that the eye of an ostrich is bigger than its brain,0,50881.0,324.0,7713.0,944.0
289935.0,25,someone shared with me that the largest pair of eyes in the world belongs to the giant squid,0,3484.0,3.0,1092.0,20.0
903941.0,34,someone shared with me that buttermilk does not contain any butter,0,409234.0,1390.0,32446.0,8390.0
704320.0,46,someone shared with me that one strand of hair can hold up to 3 ounces of weight,0,161850.0,566.0,19294.0,3077.0
609453.0,5,someone shared with me that bottled water has an expiration date,0,262718.0,99.0,80347.0,826.0
790372.0,31,someone shared with me that driving south from detroit will lead to canada,0,24067.0,236.0,4167.0,434.0
750369.0,34,someone shared with me that sea otters are born unable to swim,0,271101.0,426.0,65378.0,1482.0
630556.0,17,someone shared with me that apple seeds contain cyanide,0,67394.0,720.0,16130.0,1197.0
853104.0,52,someone shared with me that alaska is the only u.s. state whose name can be typed on a single row on the american standard keyboard,0,45589.0,163.0,16274.0,758.0
636117.0,18,someone shared with me that up to 20% of power outages in the u.s. are due to squirrels chewing through the lines,0,360722.0,65.0,12659.0,105.0
658349.0,36,someone shared with me that the largest living thing on earth is a tree,0,231224.0,1426.0,89272.0,5131.0
472376.0,17,someone shared with me that ketchup leaves the bottle at a measured speed of 25 miles per year,0,210080.0,2697.0,37155.0,4600.0
984793.0,53,someone shared with me that the town of calama in chile has never experienced rain,0,453657.0,30.0,15329.0,521.0
301749.0,40,a friend shared with a friend that yellowstone national park is home to a supervolcano,0,27047.0,18.0,1544.0,230.0
971357.0,54,a friend shared with a friend that the largest rock on earth is in australia,0,111164.0,779.0,13178.0,2338.0
302525.0,29,a friend shared with a friend that the average british driver will spend around 99 days of their life stuck in traffic,0,23738.0,118.0,673.0,314.0
578064.0,39,a friend shared with a friend that windshield wipers were invented in 1905,0,269616.0,3321.0,66922.0,6075.0
205584.0,25,a friend shared with a friend that the origins of the banjo instrument begin in africa,0,49255.0,223.0,5072.0,1186.0
422117.0,12,a friend shared with a friend that an average user spends 40% of their day on the internet,0,112780.0,380.0,26052.0,1038.0
265598.0,49,a friend shared with a friend that half of retail purchases are now made through a mobile device,0,59672.0,400.0,4952.0,815.0
307222.0,13,a friend shared with a friend that the most watched summer olympics event for the past 20 years has been gymnastics,0,13123.0,63.0,4689.0,130.0
962886.0,34,a friend shared with a friend that badminton is the fastest ball and net sport in the world,0,174445.0,162.0,10848.0,619.0
29060.0,32,"a friend shared with a friend that starting in 1990, american basketball player michael jordan and the chicago bulls never had a three-game losing streak for eight years",0,1219.0,1.0,171.0,3.0
952372.0,56,a friend shared with a friend that a dog’s sense of smell is much more powerful than a human's,0,10191.0,55.0,114.0,223.0
986657.0,37,"a friend shared with a friend that a common garden snail has over 12,000 teeth",0,537842.0,2891.0,199478.0,4721.0
561388.0,44,a friend shared with a friend that koalas sleep up to 22 hours per day,0,152488.0,291.0,26474.0,2668.0
773587.0,30,a friend shared with a friend that some sharks can glow in the dark,0,279571.0,1331.0,16917.0,3617.0
71676.0,26,a friend shared with a friend that it would take 258 earth days to drive around one of saturn’s rings at a speed of 75 mph,0,45324.0,258.0,6977.0,503.0
663764.0,55,a friend shared with a friend that sputnik was the first artificial satellite in space,0,113266.0,564.0,31512.0,2325.0
170467.0,31,a friend shared with a friend that neptune radiates more heat than it gets from the sun,0,86546.0,447.0,19813.0,721.0
988418.0,5,a friend shared with a friend that a day on mars is about the same length as on earth,0,344391.0,22.0,78618.0,239.0
345192.0,27,a friend shared with a friend that there’s a planet made of diamonds two times the size of earth,0,63925.0,57.0,7783.0,99.0
755590.0,43,a friend shared with a friend that there is a world championship for throwing mobile phones,0,128952.0,498.0,25210.0,1750.0
611144.0,48,a friend shared with a friend that avocados never ripen while they are still attached to the tree,0,46826.0,44.0,12186.0,503.0
929654.0,34,a friend shared with a friend that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,0,616498.0,176.0,97225.0,588.0
208229.0,7,a friend shared with a friend that humans can’t taste food without saliva,0,115949.0,149.0,2253.0,2058.0
248398.0,17,a friend shared with a friend that the eiffel tower leans away from the sun,0,139777.0,209.0,17309.0,1639.0
677288.0,31,a friend shared with a friend that only one-fourth of the sahara desert is sandy,1,214708.0,1428.0,66446.0,2167.0
726718.0,8,a friend shared with a friend that the french scrabble world champion winner doesn’t speak french,0,241278.0,87.0,28762.0,1233.0
857998.0,13,a friend shared with a friend that a one-armed player scored the winning goal in the first soccer tournament world cup in 1930,0,468810.0,2431.0,183219.0,5830.0
589041.0,48,a friend shared with a friend that it is physically impossible for humans to keep their eyes open while sneezing,0,144226.0,1597.0,51973.0,3362.0
604898.0,31,a friend shared with a friend that pineapples are named after pinecones,0,288298.0,899.0,95777.0,3225.0
737901.0,20,a friend shared with a friend that losing weight alters brain activity,0,205717.0,12.0,4645.0,666.0
680252.0,56,a friend shared with a friend that your fingernails on your dominant hand grow faster,0,177711.0,9.0,1946.0,3223.0
250243.0,31,a friend shared with a friend that playing dance music helps ward off mosquitoes,0,45005.0,240.0,9872.0,705.0
5279.0,28,a friend shared with a friend that mice typically only live for 6 months in the wild,0,2670.0,7.0,16.0,12.0
364943.0,37,a friend shared with a friend that the dwarf planet pluto was named by an 11-year-old girl,0,212815.0,4.0,6149.0,906.0
865320.0,51,a friend shared with a friend that the insect population of the world is 1 billion times more than the world population,0,139937.0,1504.0,49470.0,2574.0
874793.0,51,a friend shared with a friend that the human brain uses 20% of the body's oxygen,0,306997.0,2006.0,29763.0,5262.0
468077.0,24,a friend shared with a friend that you can fit about 400 grapevines in one acre of land,0,194366.0,131.0,37758.0,4319.0
539826.0,57,a friend shared with a friend that a pineapple plant can only produce one pineapple a year,0,132637.0,60.0,16501.0,444.0
309589.0,55,a friend shared with a friend that strawberries are the only known fruit to grow their seeds externally,0,170284.0,754.0,54865.0,2735.0
572084.0,39,a friend mentioned someone discovered that nucelear fission is now being used to produce electricity,0,93187.0,9.0,4911.0,1475.0
879769.0,26,"a friend mentioned someone discovered that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",0,107260.0,1257.0,27447.0,2288.0
436875.0,37,a friend mentioned someone discovered that the rubik's cube is the best-selling product of all time,0,260329.0,1947.0,41775.0,4663.0
501354.0,43,a friend mentioned someone discovered that mobile phone use in india is nearly 100%,0,248235.0,2110.0,64155.0,3883.0
168449.0,50,a friend mentioned someone discovered that the total number of multinational companies investing in green initiatives has increased by 35% since 2020,0,90690.0,383.0,16615.0,1962.0
200060.0,32,a friend mentioned someone discovered that the oldest playable musical instruments were found in china,0,106959.0,1500.0,32426.0,2564.0
423164.0,16,a friend mentioned someone discovered that the japanese word ‘karaoke’ comes from a phrase meaning ’empty orchestra’,0,186423.0,1430.0,55246.0,2404.0
182650.0,57,a friend mentioned someone discovered that about half of the world's population can access the web via a mobile device,0,88712.0,95.0,28801.0,434.0
195432.0,49,a friend mentioned someone discovered that an average user spends 40% of their day on the internet,0,27339.0,200.0,3483.0,433.0
90931.0,9,a friend mentioned someone discovered that the average user checks their mobile phone around 150 times each day,0,51974.0,156.0,3568.0,970.0
920337.0,43,a friend mentioned someone discovered that 4 of the top 10 highest paid atheletes in the world are players in the american national basketball assocation (nba),0,567807.0,2850.0,214550.0,4524.0
995247.0,33,a friend mentioned someone discovered that the first gloves used in american sport baseball were fingerless,0,505255.0,3081.0,156842.0,9099.0
956314.0,23,a friend mentioned someone discovered that the concorde was the fastest passenger jet ever,0,572469.0,298.0,154525.0,2902.0
328659.0,53,a friend mentioned someone discovered that the busiest airport in the world is in the united states,0,165642.0,135.0,46318.0,337.0
631075.0,49,"a friend mentioned someone discovered that london, england has the world's oldest subway system",1,284311.0,354.0,97442.0,1163.0
228358.0,60,a friend mentioned someone discovered that dragonflies can see in all directions at the same time,0,19295.0,35.0,2332.0,270.0
276059.0,51,a friend mentioned someone discovered that koalas sleep up to 22 hours per day,0,97689.0,507.0,38967.0,2376.0
351066.0,53,a friend mentioned someone discovered that the volcano olympus mons on mars is over 3 times taller than mount everest,0,58438.0,0.0,19119.0,39.0
530697.0,41,a friend mentioned someone discovered that saturn is less dense than water,0,30862.0,166.0,8161.0,278.0
2883.0,49,a friend mentioned someone discovered that sound actually travels in space,0,1242.0,2.0,348.0,11.0
426268.0,56,a friend mentioned someone discovered that a single day on venus takes 243 earth days,0,155933.0,1935.0,50782.0,3414.0
660561.0,11,a friend mentioned someone discovered that evidence from seymour island suggest that penguins were once 6 ft tall,0,322446.0,3449.0,120347.0,5519.0
150706.0,40,a friend mentioned someone discovered that the scottish were the first people to fry chicken,0,72838.0,1.0,9413.0,454.0
965051.0,47,a friend mentioned someone discovered that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,0,567073.0,2550.0,67201.0,3940.0
311719.0,24,a friend mentioned someone discovered that j is the only letter that doesn’t appear on the periodic table of elements,0,71173.0,163.0,6362.0,496.0
56142.0,50,a friend mentioned someone discovered that the tallest tower of cupcakes ever made was over 35 feet,0,27239.0,172.0,1540.0,390.0
915553.0,48,a friend mentioned someone discovered that bees can fly higher than mount everest,1,272536.0,3.0,78299.0,7.0
593281.0,20,a friend mentioned someone discovered that cold water is just as cleansing as hot water,0,332025.0,2486.0,103892.0,7769.0
169697.0,59,a friend mentioned someone discovered that more people speak english as their second language than those who use it as their primary language,0,12958.0,120.0,589.0,314.0
812513.0,53,a friend mentioned someone discovered that triskaidekaphobia is the fear of the number 13,0,523168.0,2809.0,20023.0,7565.0
743385.0,34,a friend mentioned someone discovered that your fingernails on your dominant hand grow faster,0,414665.0,107.0,52389.0,1427.0
726835.0,58,a friend mentioned someone discovered that apple seeds contain cyanide,0,293637.0,1854.0,31598.0,3868.0
950500.0,43,a friend mentioned someone discovered that frigate birds can sleep while flying,0,146636.0,956.0,25913.0,1956.0
25771.0,38,a friend reported someone discovered that humans will live on mars by 2035,0,4775.0,26.0,1771.0,77.0
660194.0,35,a friend reported someone discovered that we will all fly with individual jetpacks by 2032,0,349323.0,1335.0,30579.0,7102.0
848448.0,50,a friend reported someone discovered that earth days are getting longer over time due to orbital expansion,0,207258.0,275.0,56105.0,3272.0
56312.0,18,a friend reported someone discovered that seventy percent of small businesses are owned and operated by a single person.,0,36854.0,254.0,6211.0,512.0
263806.0,10,a friend reported someone discovered that more businesses will be owned by women than men by 2045,0,8528.0,10.0,2373.0,27.0
951464.0,19,a friend reported someone discovered that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,0,365819.0,387.0,101090.0,752.0
907591.0,40,a friend reported someone discovered that 1 billion cars are currently in use around the world,0,291689.0,853.0,65458.0,1736.0
285004.0,40,a friend reported someone discovered that it would take less than a month to get to the moon by car at 60mph,0,33069.0,71.0,11653.0,572.0
611518.0,40,a friend reported someone discovered that the car radio was first introduced in 1922,0,43431.0,45.0,8890.0,196.0
227262.0,18,a friend reported someone discovered that the harmonica is the best selling musical instrument,0,34194.0,74.0,565.0,456.0
216296.0,59,a friend reported someone discovered that 90% of the world’s data was generated after 2019,0,92543.0,70.0,22041.0,270.0
714428.0,34,a friend reported someone discovered that over 60% of the world's population has access to the internet,0,445887.0,2559.0,67205.0,5983.0
915340.0,22,a friend reported someone discovered that singapore has the fastest internet connectivity in the world.,0,459193.0,1440.0,53596.0,7729.0
830574.0,29,a friend reported someone discovered that half of retail purchases are now made through a mobile device,0,424374.0,2892.0,150314.0,7366.0
42647.0,48,a friend reported someone discovered that the world generates 2.5 quintillion bytes of data every day,0,17703.0,155.0,5027.0,375.0
697308.0,60,a friend reported someone discovered that 1 in 3 people have never used the internet,0,190336.0,1572.0,65540.0,3019.0
775229.0,16,"a friend reported someone discovered that shanghai, china has the world's longest subway system",1,42657.0,247.0,1636.0,835.0
242727.0,26,a friend reported someone discovered that a dog’s sense of smell is much more powerful than a human's,0,4464.0,26.0,620.0,62.0
64994.0,12,a friend reported someone discovered that dragonflies can see in all directions at the same time,0,37401.0,100.0,4768.0,246.0
338032.0,15,a friend reported someone discovered that koalas sleep up to 22 hours per day,0,174028.0,834.0,58508.0,3167.0
405315.0,26,a friend reported someone discovered that it snows metal and rains acid on venus,0,241311.0,1200.0,12754.0,5667.0
443793.0,28,a friend reported someone discovered that the sun takes over one earth month to make a full rotation,0,62808.0,251.0,18380.0,671.0
754822.0,23,a friend reported someone discovered that it takes an average of 364 licks to get to the center of a lollipop,0,441008.0,4094.0,28597.0,7603.0
612397.0,20,a friend reported someone discovered that there is a world championship for throwing mobile phones,0,69987.0,606.0,27953.0,910.0
998792.0,50,a friend reported someone discovered that take out restaurants have been found in the remains of pompeii,0,151348.0,1301.0,48830.0,2843.0
765069.0,51,a friend reported someone discovered that captive ravens can speak better than parrots,0,301210.0,156.0,66991.0,278.0
112830.0,54,a friend reported someone discovered that the scottish were the first people to fry chicken,0,38543.0,3.0,526.0,107.0
762699.0,23,a friend reported someone discovered that elephants will console each other during stressful situations,0,352035.0,458.0,26264.0,7098.0
645348.0,24,a friend reported someone discovered that avocados never ripen while they are still attached to the tree,0,25962.0,44.0,6713.0,211.0
379005.0,16,a friend reported someone discovered that the brain is the fattiest organ in the body,0,204577.0,1858.0,49432.0,2862.0
894337.0,15,a friend reported someone discovered that humans can’t taste food without saliva,0,129925.0,304.0,3678.0,1010.0
712536.0,58,a friend reported someone discovered that the netherlands is home to the population of tallest humans on earth,0,216805.0,1734.0,47945.0,4486.0
148492.0,9,a friend reported someone discovered that new zealanders have more pets per household than any other country,0,70227.0,841.0,14962.0,1264.0
433310.0,33,a friend reported someone discovered that q' is the only letter that doesn’t appear in any u.s. state name,0,102440.0,1030.0,34276.0,1753.0
649471.0,50,"a friend reported someone discovered that blue whales eat 500,000 calories in 1 mouthful on average",0,317456.0,46.0,42349.0,1072.0
40208.0,5,a friend reported someone discovered that humans have jumped further than horses in the olympics,0,8018.0,0.0,1029.0,16.0
346555.0,38,a friend reported someone discovered that the first commercial airplane flight lasted 23 minutes,0,70156.0,94.0,12343.0,605.0
812447.0,20,a friend reported someone discovered that 170-year-old champagne was found under the baltic sea,0,343371.0,528.0,79962.0,3608.0
391812.0,6,a friend reported someone discovered that x-rays can’t distinguish real diamonds from fake ones,0,30875.0,76.0,1706.0,165.0
468758.0,28,a friend reported someone discovered that the continental tectonic plates move at the same rate that fingernails grow,0,78841.0,681.0,12464.0,1271.0
642888.0,35,a friend reported someone discovered that driving south from detroit will lead to canada,0,21908.0,122.0,7009.0,412.0
633270.0,35,a friend reported someone discovered that more people speak english as their second language than those who use it as their primary language,0,6077.0,60.0,1018.0,101.0
734203.0,17,a friend reported someone discovered that triskaidekaphobia is the fear of the number 13,0,296340.0,2745.0,112802.0,6795.0
939399.0,44,a friend reported someone discovered that the opposite sides of dice will always equal 7,0,144236.0,104.0,31119.0,906.0
494881.0,8,a friend reported someone discovered that bananas get their curved shape by growing towards the sun,0,32805.0,198.0,8934.0,534.0
886215.0,27,a friend reported someone discovered that frigate birds can sleep while flying,1,521651.0,4219.0,114330.0,10943.0
648343.0,47,a friend reported someone discovered that the chicken is the closest relative to the t-rex,1,233325.0,2122.0,66078.0,4728.0
56430.0,12,a friend reported someone discovered that violin bows are made from horsehair,0,34026.0,0.0,4691.0,0.0
558866.0,42,a friend reported someone discovered that the largest living thing on earth is a tree,0,187629.0,2012.0,15527.0,4493.0
91199.0,36,a friend reported someone discovered that the moon is moving away from the earth,0,28946.0,59.0,3171.0,115.0
788517.0,25,a friend reported someone discovered that a pineapple plant can only produce one pineapple a year,0,307605.0,2067.0,9543.0,4832.0
115622.0,45,a friend reported someone discovered that china is the world’s largest silk producer,0,56824.0,373.0,13342.0,817.0
36741.0,36,a friend reported someone discovered that redwoods are the tallest trees,0,4541.0,23.0,49.0,38.0
417233.0,23,a friend told me someone discovered that humans will live on mars by 2035,0,217824.0,66.0,34725.0,357.0
509376.0,16,a friend told me someone discovered that drone deliveries are already happening and will become common by 2025,0,153342.0,1318.0,34764.0,2281.0
993601.0,52,a friend told me someone discovered that earth days are getting longer over time due to orbital expansion,1,360808.0,1377.0,123543.0,2648.0
511307.0,29,a friend told me someone discovered that 20% of the world's oxygen is produced in the amazon jungles,0,271981.0,2467.0,20832.0,6673.0
518655.0,32,a friend told me someone discovered that there are about 582 million entrepreneurs in the world,0,105148.0,502.0,40590.0,1367.0
268145.0,59,a friend told me someone discovered that the highest total mileage clocked by a single car is 2850000 million miles,0,112600.0,106.0,14468.0,2719.0
862840.0,45,a friend told me someone discovered that violins are constructed from 70 individual wooden pieces,0,435872.0,746.0,93125.0,1459.0
244746.0,24,a friend told me someone discovered that the musical artist prince played 27 different instruments on his debut album,0,15130.0,62.0,2944.0,180.0
210960.0,37,a friend told me someone discovered that it would take a 50 petabyte drive to store every written work ever created,0,115814.0,467.0,36974.0,1855.0
111863.0,12,a friend told me someone discovered that kite flying is a professional sport in thailand.,0,516.0,4.0,33.0,11.0
89566.0,11,"a friend told me someone discovered that starting in 1990, american basketball player michael jordan and the chicago bulls never had a three-game losing streak for eight years",0,45283.0,21.0,5417.0,137.0
444516.0,42,a friend told me someone discovered that the busiest airport in the world is in the united states,0,215982.0,756.0,12545.0,4987.0
226281.0,49,a friend told me someone discovered that koalas sleep up to 22 hours per day,0,97360.0,72.0,28001.0,110.0
330402.0,29,a friend told me someone discovered that footprints left on the moon won’t disappear as there is no wind,0,171557.0,355.0,45777.0,1871.0
704208.0,17,a friend told me someone discovered that neptune radiates more heat than it gets from the sun,0,133661.0,51.0,17715.0,368.0
519070.0,24,a friend told me someone discovered that neptune’s winds are the fastest in the solar system,0,158598.0,188.0,54151.0,665.0
499826.0,50,a friend told me someone discovered that there are currently 6 spacecrafts on mars,0,309975.0,1333.0,17914.0,7456.0
167944.0,50,a friend told me someone discovered that mars has running water,0,87441.0,137.0,6040.0,353.0
511854.0,60,a friend told me someone discovered that the bent joint in the legs of the flamingo is its ankles,0,312695.0,133.0,39685.0,376.0
684341.0,60,a friend told me someone discovered that canned pumpkins do not contain actual pumpkins,0,127101.0,1005.0,7517.0,1741.0
825852.0,22,a friend told me someone discovered that dogs can understand up to 250 hand gestures and words,0,479045.0,3127.0,3712.0,9804.0
683434.0,52,a friend told me someone discovered that captive ravens can speak better than parrots,0,94655.0,87.0,37748.0,309.0
231712.0,41,a friend told me someone discovered that the scottish were the first people to fry chicken,1,12348.0,36.0,771.0,79.0
597742.0,50,a friend told me someone discovered that baked beans are not actually baked,0,178975.0,314.0,44473.0,1885.0
273182.0,36,a friend told me someone discovered that the brain is the fattiest organ in the body,0,81099.0,611.0,21955.0,1075.0
482106.0,46,a friend told me someone discovered that no two tongue prints are alike,0,228292.0,465.0,64845.0,1252.0
93598.0,52,a friend told me someone discovered that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,0,52844.0,9.0,86.0,175.0
870656.0,39,a friend told me someone discovered that people don’t sneeze in their sleep,0,137823.0,1696.0,46313.0,2897.0
441748.0,5,a friend told me someone discovered that australia has a bright pink lake,0,122633.0,130.0,13387.0,556.0
33738.0,40,a friend told me someone discovered that j is the only letter that doesn’t appear on the periodic table of elements,0,614.0,3.0,3.0,6.0
934185.0,42,"a friend told me someone discovered that at birth, baby pandas are smaller than mice",0,22021.0,134.0,8068.0,538.0
422912.0,25,a friend told me someone discovered that penguins can jump as high as 9 feet in the air,0,248328.0,19.0,50384.0,4380.0
515255.0,21,a friend told me someone discovered that the microwave oven was an accidental invention,0,7604.0,10.0,2738.0,22.0
749576.0,17,a friend told me someone discovered that the longest location name on the planet earth is 85 letters in english.,0,314896.0,1414.0,61154.0,5917.0
169966.0,54,a friend told me someone discovered that only one-fourth of the sahara desert is sandy,0,87626.0,58.0,31020.0,536.0
629607.0,58,a friend told me someone discovered that there are billions of eggs produced commercially each year,0,221678.0,389.0,18098.0,1467.0
49714.0,23,a friend told me someone discovered that pineapples are named after pinecones,0,19166.0,7.0,2673.0,341.0
807048.0,42,a friend told me someone discovered that leeches were historically used to predict the weather,0,185813.0,962.0,48347.0,4570.0
961772.0,40,a friend told me someone discovered that melting glaciers make fizzy noises,0,469073.0,2801.0,97414.0,8430.0
148883.0,43,a friend told me someone discovered that the most successful predator is a wild dog,0,85580.0,29.0,34011.0,131.0
631388.0,12,a friend told me someone discovered that the world’s largest pyramid cannot be found in egypt,0,337717.0,1298.0,101692.0,2704.0
939426.0,48,a friend told me someone discovered that triskaidekaphobia is the fear of the number 13,0,346894.0,95.0,107200.0,281.0
560115.0,37,a friend told me someone discovered that the largest living thing on earth is a tree,0,259081.0,935.0,97881.0,3155.0
100810.0,27,a friend told me someone discovered that ketchup leaves the bottle at a measured speed of 25 miles per year,0,46464.0,47.0,5054.0,326.0
859572.0,49,a friend told me someone discovered that a giant tortoise that was believed to be extinct was found in the galapagos islands,0,128379.0,1100.0,2142.0,2633.0
86449.0,6,a friend told me someone discovered that a pineapple plant can only produce one pineapple a year,0,20873.0,154.0,2412.0,395.0
22675.0,19,a friend claimed someone discovered that it snows in the sahara desert,0,15038.0,0.0,4688.0,212.0
30448.0,8,a friend claimed someone discovered that it would take less than a month to get to the moon by car at 60mph,0,988.0,16.0,206.0,25.0
569559.0,23,a friend claimed someone discovered that the first electric vehicle was created in 1832,0,184470.0,173.0,14061.0,1468.0
813598.0,47,a friend claimed someone discovered that the car radio was first introduced in 1922,0,48172.0,401.0,948.0,942.0
506876.0,6,a friend claimed someone discovered that the automotive industry employs about 9.9 million americans,0,212303.0,760.0,15689.0,1428.0
682406.0,46,a friend claimed someone discovered that violins are constructed from 70 individual wooden pieces,0,108826.0,1014.0,1338.0,2661.0
878248.0,27,a friend claimed someone discovered that the musical artist prince played 27 different instruments on his debut album,0,400541.0,361.0,121970.0,3447.0
909325.0,45,"a friend claimed someone discovered that 99% of individuals in denmark, ireland and the united arab emirates have internet access",0,314007.0,1278.0,48135.0,6184.0
881753.0,18,"a friend claimed someone discovered that 1920 was the last time the event ""tug-of-war"" was played in the summer olympics",0,295676.0,417.0,7539.0,1611.0
179828.0,53,a friend claimed someone discovered that kite flying is a professional sport in thailand.,0,100089.0,518.0,9428.0,1529.0
414954.0,5,a friend claimed someone discovered that the longest commercial flight in history took around 30 hours,0,43839.0,32.0,2052.0,753.0
380857.0,42,a friend claimed someone discovered that the busiest airport in the world is in the united states,0,160730.0,457.0,35354.0,1844.0
661093.0,23,a friend claimed someone discovered that dolphins are mammals,0,180093.0,1338.0,32820.0,3721.0
612645.0,20,a friend claimed someone discovered that some ants can lift up to 20 times their own body weight,0,340472.0,1963.0,6082.0,7560.0
38266.0,31,a friend claimed someone discovered that the hummingbird is the only bird that can fly backwards,0,7567.0,14.0,3012.0,136.0
392496.0,10,a friend claimed someone discovered that sound actually travels in space,0,251922.0,299.0,30959.0,3538.0
175290.0,8,a friend claimed someone discovered that neptune’s winds are the fastest in the solar system,0,86677.0,391.0,1785.0,1819.0
430258.0,38,a friend claimed someone discovered that pluto could theoretically sustain life,0,20195.0,146.0,3453.0,349.0
474105.0,14,a friend claimed someone discovered that mars has running water,1,312860.0,553.0,104143.0,5030.0
337386.0,53,a friend claimed someone discovered that there is a world championship for throwing mobile phones,0,55788.0,120.0,4060.0,1305.0
448341.0,6,a friend claimed someone discovered that take out restaurants have been found in the remains of pompeii,0,280452.0,105.0,60986.0,1746.0
